naics,naics_title,total,know,passes_usd,agreed3_usd,blocked,share_total,share_know,payroll_scored_by_three
623100,Nursing Care Facilities (Skilled Nursing Facilities),77412336000.0,40597606500.0,1166296842.305626,291407370.19428885,1798023162.8213472,0.015066033433038707,0.028728216829867197,40597606500.0
532100,Automotive Equipment Rental and Leasing,9976434400.0,5778609200.0,1092845358.307017,645303030.8427175,1170922048.2416174,0.10954267972804162,0.18911909777650598,5778609200.0
4590A1,Miscellaneous Store Retailers (4594 and 4595 only),15622423200.0,12974626400.0,1001744934.0759,508784733.97715175,2011024710.0799305,0.06412225051462567,0.07720799838027706,12974626400.0
238900,Other Specialty Trade Contractors,50559552100.0,13301485500.0,984643543.7374995,408580107.98511827,1547202443.1428216,0.019474926158167042,0.07402508116386695,13301485500.0
621500,Medical and Diagnostic Laboratories,23905699600.0,21228220900.0,976554874.9183475,373216014.10407305,1599307348.380225,0.040850294752233375,0.046002671609581165,21228220900.0
561600,Investigation and Security Services,47277460600.0,8996109700.0,911862775.0756571,434744914.36781603,1354014915.7327116,0.01928747363972542,0.1013619003640715,8996109700.0
325400,Pharmaceutical and Medicine Manufacturing,30453132400.0,21982688000.0,905557442.8963715,363732925.4257031,1795730218.7168062,0.02973610172516675,0.041194117975762175,21982688000.0
323100,Printing and Related Support Activities,19840331500.0,9367568000.0,892989312.5298843,392904638.13020784,1734066930.8657346,0.04500878992520283,0.09532776410375503,9367568000.0
339100,Medical Equipment and Supplies Manufacturing,23971545700.0,14548416200.0,800729413.3452986,340658783.16118544,1566822834.9239004,0.033403328403028204,0.05503894048242163,14548416200.0
561900,Other Support Services,17263034900.0,9929789800.0,782889541.9677746,391087159.3134505,1423884578.150163,0.045350631942925324,0.07884250902952393,9929789800.0
3320A1,"Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329 only)",29239596400.0,12923910000.0,776013076.1106676,325268095.12538546,1267222118.739627,0.02653980121663607,0.06004476014694218,12923910000.0
326100,Plastics Product Manufacturing,33346571900.0,12230470300.0,763835126.1309613,338484385.3720117,1211014742.3713527,0.022905956522954053,0.062453454969017934,12230470300.0
611700,Educational Support Services,18542306900.0,15431836300.0,750917257.102539,322681218.8282554,2178657704.570463,0.04049750989196166,0.048660265862367845,15431836300.0
3320A2,Fabricated Metal Product Manufacturing (3323 and 3324 only),30997320700.0,11211483000.0,731470885.0675629,277019459.2721772,1225750332.1834462,0.023597874543639603,0.06524300889254017,11211483000.0
3250A1,"Chemical Manufacturing (3251, 3252, 3253, and 3259 only)",30322473300.0,16117428200.0,715406900.3019933,286595882.2613693,1364755964.7875862,0.023593289809310945,0.04438716223361201,16117428200.0
334100,Computer and Peripheral Equipment Manufacturing,12596124400.0,11630667900.0,701146857.5381107,245410263.2012501,1337549502.804366,0.05566369744158058,0.0602843158764864,11630667900.0
237100,Utility System Construction,42543798600.0,12195525000.0,696646895.3527657,241421283.06318015,1124539137.8493495,0.016374816501523344,0.057123157498571456,12195525000.0
424300,"Apparel, Piece Goods, and Notions Merchant Wholesalers",10730115200.0,9034227600.0,656819219.6024107,297444433.5450292,965814272.9245775,0.06121269039147042,0.07270341734609505,9034227600.0
621900,Other Ambulatory Health Care Services,21623613100.0,18534026500.0,637372393.0991728,298410150.9864924,1562043485.7471836,0.029475758290328124,0.034389310552629934,18534026500.0
336300,Motor Vehicle Parts Manufacturing,32505994700.0,11476252300.0,630660559.4086466,265995741.9930499,1106005335.286652,0.0194013616635656,0.054953528636578215,11476252300.0
339900,Other Miscellaneous Manufacturing,17222512000.0,9126779700.0,626291852.1243973,248258153.04526258,1313777255.9249089,0.0363647214833932,0.06862133991515072,9126779700.0
492100,Couriers and Express Delivery Services,52492206100.0,6471486600.0,614637927.871703,369908772.3465918,1085346269.005955,0.011709127383611774,0.09497631160538957,6471486600.0
441200,Other Motor Vehicle Dealers,9889744500.0,6256961800.0,611294227.9214917,333801740.75144845,863589030.6496315,0.06181092220547171,0.0976982515574079,6256961800.0
812100,Personal Care Services,32570776500.0,6713933100.0,591319293.8925319,182491409.0473303,1567740713.211118,0.018154903181154796,0.08807345636085231,6713933100.0
813300,Social Advocacy Organizations,17775010200.0,15572470600.0,589242081.9747518,240142049.17807585,2029038761.7914047,0.03315002778309246,0.037838702484033065,15572470600.0
327000,Nonmetallic Mineral Product Manufacturing,24909745200.0,7914831100.0,584854993.5954052,215691512.04959425,881090127.5228976,0.023478963309323822,0.07389355328067648,7914831100.0
